,research,theory,science,engineering,systems,publication,areas,quantum,view,details,experiment,data,matter,award,software,graduate,studies,group,press,programs
247,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2186462011426973,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.207979795253683,1.8822189773211773,-0.0,-0.0,-0.1544810314801135
248,-3.364765915398363,-0.0,-1.2334596348187,-0.0,-0.0,-0.0,-0.2585969048055817,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.23277561941993,-0.0,4.146437462902362,10.872015796525458,-0.0,9.201491948210863,-0.1826855865012145
249,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1186418564706469,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.6812434696343631,-0.0514297476526538,-0.0,-0.0,-0.0781055277484186
250,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2661449658885989,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1073083515188533,0.2742743148653507,-0.0,-0.0,-0.1745840611514417
251,-1.881727177408778,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1493032817342603,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0449326897932485,0.2596945486236832,-0.0,1.1494032451160667,-0.0977698770281943
252,-2.304232243198101,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1848922955652547,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.000001931643728,-0.0,3.4082038992158967,16.800465788675808,-0.0,-0.0,-0.1204782843393078
253,-1.657274322429598,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1363517884813897,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0508074922659948,-0.0,-0.0158070409376983,2.7995603224122103,-0.0,18.36496288703756,-0.0884312875482567
254,-2.0298432165478952,-0.0,-0.0,-0.0,-0.0,-0.0,-0.167170289772728,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.9144771663530784,-0.0,-0.0055218358097057,6.955233243242198,-0.0,1.3017422087686612,-0.1077892601199021
255,-1.417647395485066,-0.0,-0.0,-0.0,-0.0,-0.0,-0.162223485610935,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0004139972989788,-0.0,0.8902434538302191,0.1912515299890196,-0.0,-0.0,-0.1036125626779912
256,-0.0,-0.3742913966105206,-0.7353020308454301,-0.0,-0.0,-0.0,-0.1814148505807786,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0675944587175726,0.0056957042900037,-0.0,1.2568228631035248,6.531008562344453,-0.0,3.652903265952884,-0.1144045274138102
257,-1.6895808918892523,-0.0,-0.0,-0.0,-0.2225544945885155,-0.0,-0.174803555566996,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1625766499906426,1.5127145466444096,-0.0,6.228627359730554,-0.1234749678736049
258,-0.0,-0.0,-0.8292152091311408,-0.2458727792077468,-0.0,-0.0,-0.1741168131946057,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.6668595850495613,-0.0,-0.151857235439527,0.253237813621139,-0.0,-0.0,0.0528921276218422
259,-2.7023126213896007,-1.0983847219340817,-0.0,-0.0,-0.0,-0.0,-0.2845293867063026,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2315425785877359,57.96607249160794,-0.0,-0.0,-0.1960789946843528
260,-4.586782903658226,-0.0,-1.5728244778523728,-0.0,-0.0,-0.0,-0.3421972964056744,-0.0,-0.0,-0.0,-0.0,1.2185796181706652,-0.0,-0.0,-0.0,1.803989376320165,-0.1516196235587287,-0.0,-0.0,-0.2330254267552989
261,-2.709550542947055,-0.0,-1.3119762927034262,-0.0,-0.0,-0.0,-0.2913097444988567,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.202725717845851,5.672075899742508,-0.0,-0.0,-0.1960088259032608
