,history,physics,university,computer,research,rochester,ub,engineering,science,award,professor,faculty,buffalo,disability,war,ieee,arts,var,quantum,matter
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test73.csv,-0.0,12.123741008355566,-5.41178038238161,-0.0,-4.269760211595651,9.488762239018005,-0.0,-0.0,-0.0,-0.0,-0.11447134817968192,-0.7564861358232862,-0.0,-0.0,-0.0,-0.0,-1.0004736721322405,-0.0,0.08667773729491449,2.5836283978470047
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test74.csv,-0.0,14.293280518443197,-5.159457811615384,-0.0,-4.7498439912942905,9.18405972842457,-0.0,-0.8828652687625237,-0.0,-0.0,-0.11030251378487695,-0.7290702072975235,-0.0,-0.0,-0.0,-0.0,-0.9582355101106592,-0.0,-0.0,2.5068751819055666
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test75.csv,-0.0,1.4621336337531403,3.826800111413372,-0.0,-4.469009999592604,20.65345773652701,-0.0,-0.0,-0.0,-0.0,11.38410264832648,-0.9489728807950992,-0.0,-0.0,-0.0,-0.0,-1.239496229757993,-0.0,0.11340748666589823,8.466509231732934
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test76.csv,-0.0,0.6303031332116262,-3.01402194299335,-0.0,-7.011831146145785,12.326518333527567,-0.0,-1.3107122903076132,-0.0,-0.0,2.8166885905046857,-0.9709989416968535,-0.0,-0.0,-0.0,-0.0,-1.260124733968751,-0.0,-0.0,8.700314713505461
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test77.csv,-0.0,8.797791784494173,-1.8293510760024645,-0.0,-5.687609606097633,10.386355076680951,-0.0,1.5843616893144996,-2.017609693569993,-0.0,1.184652768196796,-0.8151579775935034,-0.0,-0.0,-0.0,-0.0,-1.0510277625575792,-0.0,-0.0,2.8625358971727524
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test78.csv,-0.0,14.964602344071125,16.831448933397187,-0.0,12.920963537241798,15.968617651869891,-0.0,-0.0,-0.0,-0.0,29.055588596349832,-0.7274125728256636,-0.0,-0.0,-0.0,-0.0,-0.9318777919117325,-0.0,0.09056586635857755,6.570858825467036
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test79.csv,-0.0,-15.374954582979019,-12.144210448323838,-0.0,-0.0,19.37425415104796,-0.0,-1.8074293474545582,-0.0,-0.0,-0.3628993108127239,-1.5078896209595034,-0.0,-0.0,-0.0,-0.0,-1.9193802245607856,-0.0,-0.0,5.371927427578536
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test8.csv,-2.2895891484232385,-0.0,-6.0043098078215715,-0.0,-4.924380411431997,-0.24026596147930784,-0.0,-0.4715762234649025,-1.863424534992834,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.9999542332602243,-0.0,-0.0,-0.0
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test80.csv,-0.0,-15.25166038582419,-11.981821723609052,-0.0,-0.0,19.426343267689383,-0.0,-0.0,-0.0,-0.0,-0.0,-1.5068376222727558,-0.0,-0.0,-0.0,-0.0,-1.8938480593005682,-0.0,-0.0,5.397425877294947
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test81.csv,-0.0,14.432869601661132,3.6929980189498006,-0.0,-3.433577632115632,9.551621051453287,-0.0,-0.5940112695449132,-0.0,-0.5991103211743244,40.857542710783136,-0.7392040064550949,-0.0,-0.0,-0.0,-0.0,-0.9224901048908195,-0.0,0.09577277161629248,6.7540886562283555
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test82.csv,-0.0,34.59710899598639,29.108589752106404,-0.0,14.446174491623152,18.328447057209477,-0.0,-0.7160126168723874,-0.0,-0.4364761101703091,22.861871066813,-0.5417872075400569,-0.0,-0.0,-0.0,-0.0,0.29924959889660047,-0.0,-0.0,1.966262291127861
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test83.csv,-0.0,30.76068345349251,3.038918457479598,0.5024739898956546,0.603512484943995,19.414039767660373,-0.0,1.1666736357772987,-1.4137145735296497,-0.0,5.245537597635726,-0.5720205534164607,-0.0,-0.0,-0.0,-0.0,-0.7014551468545269,-0.0,20.084486761974656,9.833945595008293
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test84.csv,-0.0,-2.7762673255960477,5.416205918047112,-0.0,-5.408006659415684,22.14712505412847,-0.0,-1.2921189251203036,-0.0,-0.0,2.4806043112896203,-0.9900642247612956,-0.0,-0.0,-0.0,-0.0,-1.2060931977946232,-0.0,-0.0,3.650854706918679
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test85.csv,-0.0,23.08463318576824,-1.277953881967329,-0.0,-4.192714257005228,8.466349122477391,-0.0,-0.0,-1.5894490375923631,-0.0,1.9788724145578178,-0.6439432090295043,-0.0,-0.0,-0.0,-0.0,-0.779014907479339,-0.0,41.02725503710098,2.3886505971116736
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test86.csv,-3.4529829509012475,-3.2070171921573296,25.699047002921276,-0.0,-3.186554875209439,14.954342423916797,-0.0,-0.0,-1.6685856946587403,-0.5331960316011005,40.283459124824404,-0.6647051429806902,-0.0,-0.0,-0.0,-0.0,-0.09490466859628159,-0.0,-0.0,2.4814212206876594
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test87.csv,-0.0,16.396869558263745,18.169038489503055,-0.0,-3.294747973334342,9.597997399010847,-0.0,-0.941819225145855,-1.7758538339248848,-0.5769904739670746,29.397865536307656,-0.723668520749284,-0.0,-0.0,-0.0,-0.0,-0.8608578440645832,-0.0,-0.0,12.597401513596637
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test88.csv,-0.0,12.667857579356035,37.96237069221466,-0.0,-2.3318244622224813,6.827722753720328,-0.0,4.271331410808039,-1.2556848897663881,-0.0,72.47458318132223,-0.512701052732158,-0.0,-0.0,-0.0,-0.0,-0.6056802120896189,-0.0,-0.0,1.941388426605464
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test89.csv,-0.0,36.736688476734926,13.597328163807449,-0.0,-3.551307048807982,18.373977454086006,-0.0,-0.0,-0.0,-0.0,9.993829711312769,-0.5326715448464274,-0.0,-0.0,-0.0,-0.0,-0.6249833185913023,-0.0,-0.0,2.0300048025530963
C:/Users/huang/Dropbox/AlexXuRichard/School tests/UR p&h&cs\test9.csv,173.02551984964822,-0.0,2.294677859898784,1.6706880488986602,21.793888045755697,0.305981197362711,-0.0,-0.12287506718538792,-0.48992643323411966,-0.0,-0.034998834239191534,-0.5704837110147933,-0.0,-0.0,-0.0,-0.0,-0.016541441398432312,-0.0,-0.0,0.024225596435444585
